,t_cap,t_hh,xlong,ylat
194,1650.0,80.0,239.41661,45.67259
195,1650.0,80.0,239.38931,45.66769
196,1650.0,80.0,239.40482,45.68169
197,1650.0,80.0,239.40510999999998,45.6834
198,1650.0,80.0,239.38991,45.66459
199,1650.0,80.0,239.38491,45.64209
200,1650.0,80.0,239.36041,45.64159
201,1650.0,80.0,239.41482000000002,45.66919
202,1650.0,80.0,239.37931,45.6946
203,1650.0,80.0,239.36651999999998,45.68799
204,1650.0,80.0,239.38290999999998,45.68239
205,1650.0,80.0,239.36021,45.63839
206,1650.0,80.0,239.41682,45.67419
207,1650.0,80.0,239.36891,45.66139
208,1650.0,80.0,239.36701,45.6825
209,1650.0,80.0,239.36941000000002,45.68099
210,1650.0,80.0,239.39881,45.67469
211,1650.0,80.0,239.38441,45.67329
212,1650.0,80.0,239.39681000000002,45.6508
213,1650.0,80.0,239.39951000000002,45.65529
214,1650.0,80.0,239.40282000000002,45.65889
215,1650.0,80.0,239.38111,45.67609
216,1650.0,80.0,239.37811,45.65389
217,1650.0,80.0,239.37032,45.66369
218,1650.0,80.0,239.36691000000002,45.67279
219,1650.0,80.0,239.36871,45.67069
220,1650.0,80.0,239.36072000000001,45.64829
221,1650.0,80.0,239.36961,45.66909
222,1650.0,80.0,239.38702,45.6704
223,1650.0,80.0,239.38161,45.68539
224,1650.0,80.0,239.38882,45.6615
225,1650.0,80.0,239.38810999999998,45.669
226,1650.0,80.0,239.37971,45.69069
227,1650.0,80.0,239.37952,45.69259
228,1650.0,80.0,239.38972,45.66309
229,1650.0,80.0,239.40562,45.68679
230,1650.0,80.0,239.36651999999998,45.69159
231,1650.0,80.0,239.36571,45.65659
232,1650.0,80.0,239.40721000000002,45.66439
233,1650.0,80.0,239.36761,45.6596
234,1650.0,80.0,239.40832,45.6662
235,1650.0,80.0,239.36531,45.67469
236,1650.0,80.0,239.38101,45.6872
237,1650.0,80.0,239.37801000000002,45.67959
238,2300.0,80.0,239.33751999999998,45.6176
239,2300.0,80.0,239.38861,45.63179
240,2300.0,80.0,239.32272,45.6633
241,2300.0,80.0,239.34831,45.6709
242,2300.0,80.0,239.33490999999998,45.6652
243,2300.0,80.0,239.35142000000002,45.6541
244,2300.0,80.0,239.33182,45.6695
245,2300.0,80.0,239.39452,45.63749
246,2300.0,80.0,239.41191,45.62429
247,2300.0,80.0,239.32551999999998,45.6611
248,2300.0,80.0,239.33911,45.6633
249,2300.0,80.0,239.35442,45.6689
250,2300.0,80.0,239.40331,45.6335
251,2300.0,80.0,239.35171,45.66119
252,2300.0,80.0,239.36230999999998,45.61699
253,2300.0,80.0,239.38461,45.6214
254,2300.0,80.0,239.35210999999998,45.6759
255,2300.0,80.0,239.35982,45.61469
256,2300.0,80.0,239.37360999999999,45.6269
257,2300.0,80.0,239.33501,45.62769
258,2300.0,80.0,239.38931,45.63549
259,2300.0,80.0,239.34821,45.63179
260,2300.0,80.0,239.38271,45.6154
261,2300.0,80.0,239.32051,45.66579
262,2300.0,80.0,239.35062,45.6732
263,2300.0,80.0,239.35152,45.65759
264,2300.0,80.0,239.36192,45.6321
265,2300.0,80.0,239.31882000000002,45.67099
266,2300.0,80.0,239.33580999999998,45.62289
267,2300.0,80.0,239.41502,45.62859
268,2300.0,80.0,239.34302,45.64529
269,2300.0,80.0,239.37360999999999,45.63099
270,2300.0,80.0,239.36011000000002,45.6294
271,2300.0,80.0,239.35352,45.67839
272,2300.0,80.0,239.37212,45.62269
